PartnerPolicy,Trial,Intentions_RT,Agency,Control,Game,Age,Education,Ethnicity,Religion,Sex,Persec,SocRef,ICARTot,ICARrt,Response,Type1,Type2,Option1_PPT,Option1_Partner,Option2_PPT,Option2_Partner,Diff1,Diff2,Choice,ChoiceAction,id
Individualist,13,4500,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,3
Individualist,14,6279,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Competative,Individual,8,2,9,5,6,4,Individual,2,3
Individualist,15,2370,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Competative,Prosocial,8,5,8,8,0,3,Competative,3,3
Individualist,16,2229,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Competative,Prosocial,9,5,9,9,0,4,Competative,3,3
Individualist,17,4084,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Individual,Prosocial,12,5,10,10,0,7,Individual,2,3
Individualist,18,1950,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,3
Competative,1,6443.53,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Prosocial,Individual,6,6,10,5,0,5,Prosocial,1,4
Competative,2,6403.075,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Individual,Competative,12,6,10,2,8,6,Individual,2,4
Competative,3,2483.59,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Competative,Prosocial,10,5,10,10,0,5,Prosocial,1,4
Competative,4,5320.82,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Competative,Individual,6,2,8,5,4,3,Individual,2,4
Competative,5,2047.405,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Individual,Prosocial,12,5,10,10,0,7,Prosocial,1,4
Competative,6,2854.03,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,4
Competative,7,1517.955,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,4
Competative,8,1609.585,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Prosocial,Individual,8,8,10,5,0,5,Prosocial,1,4
Competative,9,5129.44,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Competative,Individual,8,2,9,5,6,4,Individual,2,4
Competative,10,4625.61,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Individual,Prosocial,12,5,8,8,0,7,Prosocial,1,4
Competative,11,4967.555,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,4
Competative,12,1435.62,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Competative,Prosocial,8,5,8,8,0,3,Prosocial,1,4
Competative,13,2041.325,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Individual,Prosocial,12,5,9,9,0,7,Prosocial,1,4
Competative,14,1669.135,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Prosocial,Individual,7,7,10,5,0,5,Prosocial,1,4
Competative,15,1807.405,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Prosocial,Competative,7,7,7,2,0,5,Prosocial,1,4
Competative,16,6661.265,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,1,Individual,Competative,10,6,8,2,6,4,Individual,2,4
Competative,17,1552.97,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Competative,Prosocial,9,5,9,9,0,4,Prosocial,1,4
Competative,18,2325.475,99,1,Choose,39,Undergraduate Degree (e.g. BSc; MBBS),Chinese,Other (please specify),Female,15,6,7,40518.96,2,Competative,Individual,7,2,8,5,5,3,Individual,2,4
Individualist,1,2731.345,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Competative,Prosocial,8,5,8,8,0,3,Prosocial,1,5
Individualist,2,5036.76,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Individual,Competative,12,6,10,2,8,6,Individual,2,5
Individualist,3,5214.605,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Individual,Competative,10,6,8,2,6,4,Individual,2,5
Individualist,4,1727.145,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Competative,Prosocial,10,5,10,10,0,5,Prosocial,1,5
Individualist,5,1360.04,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Competative,Prosocial,9,5,9,9,0,4,Prosocial,1,5
Individualist,6,1487.450001,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Prosocial,Competative,7,7,7,2,0,5,Prosocial,1,5
Individualist,7,1441.804999,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Individual,Prosocial,12,5,10,10,0,7,Prosocial,1,5
Individualist,8,2378.815,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Competative,Individual,6,2,8,5,4,3,Individual,2,5
Individualist,9,1334.545,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,5
Individualist,10,1345.235,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Prosocial,Individual,7,7,10,5,0,5,Prosocial,1,5
Individualist,11,1114.63,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,5
Individualist,12,4587.189999,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Competative,Individual,7,2,8,5,5,3,Individual,2,5
Individualist,13,1851.059999,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,5
Individualist,14,1174.375,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Individual,Prosocial,12,5,9,9,0,7,Prosocial,1,5
Individualist,15,1189.985,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Prosocial,Individual,6,6,10,5,0,5,Prosocial,1,5
Individualist,16,902.795,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,1,Prosocial,Individual,8,8,10,5,0,5,Prosocial,1,5
Individualist,17,2953.895,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Competative,Individual,8,2,9,5,6,4,Individual,2,5
Individualist,18,849.9849997,16,1,Choose,34,Undergraduate Degree (e.g. BSc; MBBS),"""White""",Atheist,Female,1,5,3,10908.85,2,Individual,Prosocial,12,5,8,8,0,7,Prosocial,1,5
Individualist,1,3070.295,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Competative,Prosocial,9,5,9,9,0,4,Prosocial,1,6
Individualist,2,3772.885,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Competative,Individual,8,2,9,5,6,4,Individual,2,6
Individualist,3,2073.105,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Competative,Prosocial,8,5,8,8,0,3,Prosocial,1,6
Individualist,4,2913.05,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,6
Individualist,5,1900.425,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Individual,Prosocial,12,5,8,8,0,7,Individual,2,6
Individualist,6,2297.09,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Individual,Prosocial,12,5,10,10,0,7,Prosocial,1,6
Individualist,7,1085.16,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,6
Individualist,8,1271.69,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Competative,Prosocial,10,5,10,10,0,5,Prosocial,1,6
Individualist,9,1849.345,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Competative,Individual,6,2,8,5,4,3,Individual,2,6
Individualist,10,2295.33,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Individual,Competative,12,6,10,2,8,6,Individual,2,6
Individualist,11,1757.88,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Competative,Individual,7,2,8,5,5,3,Individual,2,6
Individualist,12,1073.4,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Prosocial,Competative,7,7,7,2,0,5,Prosocial,1,6
Individualist,13,1675.76,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Individual,Competative,10,6,8,2,6,4,Individual,2,6
Individualist,14,1432.215,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Prosocial,Individual,8,8,10,5,0,5,Individual,2,6
Individualist,15,1525.555,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Prosocial,Individual,6,6,10,5,0,5,Individual,2,6
Individualist,16,3429.215,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Individual,Prosocial,12,5,9,9,0,7,Individual,2,6
Individualist,17,1747.055,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,2,Prosocial,Individual,7,7,10,5,0,5,Individual,2,6
Individualist,18,1250.235,44,1,Choose,28,Postgraduate Degree (e.g. MA; MSc),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,0,2,5,29254.89,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,6
Prosocial,1,8567.435,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,7
Prosocial,2,7038.015,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Competative,Individual,7,2,8,5,5,3,Competative,3,7
Prosocial,3,4854.135,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Competative,Individual,8,2,9,5,6,4,Individual,2,7
Prosocial,4,5022.745,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Individual,Prosocial,12,5,9,9,0,7,Individual,2,7
Prosocial,5,3601.845,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,7
Prosocial,6,3909.25,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Individual,Competative,12,6,10,2,8,6,Individual,2,7
Prosocial,7,4467.085,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Prosocial,Individual,8,8,10,5,0,5,Individual,2,7
Prosocial,8,3287.495,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Competative,Individual,6,2,8,5,4,3,Individual,2,7
Prosocial,9,3392.58,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Individual,Prosocial,12,5,8,8,0,7,Individual,2,7
Prosocial,10,4193.205,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,7
Prosocial,11,4489.86,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Individual,Competative,10,6,8,2,6,4,Individual,2,7
Prosocial,12,3256.125,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Prosocial,Individual,7,7,10,5,0,5,Individual,2,7
Prosocial,13,2298.165,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Competative,Prosocial,8,5,8,8,0,3,Competative,3,7
Prosocial,14,2695.58,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Competative,Prosocial,10,5,10,10,0,5,Competative,3,7
Prosocial,15,3504.7,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Prosocial,Individual,6,6,10,5,0,5,Individual,2,7
Prosocial,16,4720.995,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Competative,Prosocial,9,5,9,9,0,4,Prosocial,1,7
Prosocial,17,2835.17,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,2,Prosocial,Competative,7,7,7,2,0,5,Competative,3,7
Prosocial,18,2416.75,100,1,Choose,51,Secondary School (GCSE or equivalent),English/Welsh/Scottish/Northern Irish/British,Christian,Female,1,2,6,37655.58,1,Individual,Prosocial,12,5,10,10,0,7,Individual,2,7
